season,match_name,fullName,overs,conceded,wickets,economyRate
2012,CSK v MI,Lasith Malinga,3.5,16,2,4.17
2012,CSK v MI,Abu Nechim,2,17,0,8.5
2012,CSK v MI,Harbhajan Singh,4,24,0,6
2012,CSK v MI,James Franklin,2,18,1,9
2012,CSK v MI,Pragyan Ojha,4,17,2,4.25
2012,CSK v MI,Kieron Pollard,4,15,2,3.75
2012,CSK v MI,Albie Morkel,4,20,0,5
2012,CSK v MI,Doug Bollinger,3.5,34,1,8.86
2012,CSK v MI,Ravichandran Ashwin,4,20,0,5
2012,CSK v MI,Ravindra Jadeja,1,16,0,16
2012,CSK v MI,Dwayne Bravo,3,14,1,4.66
2012,CSK v MI,Shadab Jakati,1,8,0,8
2012,KKR v DC,Irfan Pathan,1,9,0,9
2012,KKR v DC,Roelof van der Merwe,3,28,2,9.33
2012,KKR v DC,Morne Morkel,3,18,3,6
2012,KKR v DC,Umesh Yadav,2,9,2,4.5
2012,KKR v DC,Glenn Maxwell,1,12,0,12
2012,KKR v DC,Shahbaz Nadeem,2,16,0,8
2012,KKR v DC,Brett Lee,2,15,0,7.5
2012,KKR v DC,Marchant de Lange,3,36,0,12
2012,KKR v DC,Iqbal Abdulla,1,8,0,8
2012,KKR v DC,Jacques Kallis,3,23,1,7.66
2012,KKR v DC,Rajat Bhatia,1.1,7,1,6
2012,KKR v DC,Yusuf Pathan,1,7,0,7
2012,MI v PWI,Lasith Malinga,4,16,2,4
2012,MI v PWI,Harbhajan Singh,3,16,1,5.33
2012,MI v PWI,Munaf Patel,4,26,2,6.5
2012,MI v PWI,Pragyan Ojha,4,23,1,5.75
2012,MI v PWI,Kieron Pollard,4,31,1,7.75
2012,MI v PWI,James Franklin,1,12,0,12
2012,MI v PWI,Murali Kartik,3,14,2,4.66
2012,MI v PWI,Ashok Dinda,4,18,4,4.5
2012,MI v PWI,Marlon Samuels,4,21,1,5.25
2012,MI v PWI,Wayne Parnell,3,18,1,6
2012,MI v PWI,Rahul Sharma,4,16,1,4
2012,MI v PWI,Bhuvneshwar Kumar,2,13,0,6.5
2012,RR v KXIP,Praveen Kumar,4,42,0,10.5
2012,RR v KXIP,James Faulkner,4,41,2,10.25
2012,RR v KXIP,Piyush Chawla,4,33,1,8.25
2012,RR v KXIP,Bipul Sharma,4,28,0,7
2012,RR v KXIP,Harmeet Singh,3,23,1,7.66
2012,RR v KXIP,Paul Valthaty,1,16,0,16
2012,RR v KXIP,Siddharth Trivedi,4,32,1,8
2012,RR v KXIP,Johan Botha,4,36,0,9
2012,RR v KXIP,Amit Singh,4,26,1,6.5
2012,RR v KXIP,Kevon Cooper,4,26,4,6.5
2012,RR v KXIP,Brad Hodge,1,8,0,8
2012,RR v KXIP,Ankeet Chavan,3,28,2,9.33
2012,RCB v DC,Irfan Pathan,4,47,0,11.75
2012,RCB v DC,Doug Bracewell,4,32,3,8
2012,RCB v DC,Morne Morkel,4,30,2,7.5
2012,RCB v DC,Umesh Yadav,2,8,0,4
2012,RCB v DC,Shahbaz Nadeem,4,26,1,6.5
2012,RCB v DC,Glenn Maxwell,2,10,1,5
2012,RCB v DC,Zaheer Khan,4,36,1,9
2012,RCB v DC,Vinay Kumar,4,25,0,6.25
2012,RCB v DC,Andrew McDonald,2,11,1,5.5
2012,RCB v DC,Daniel Vettori,4,28,1,7
2012,RCB v DC,Muttiah Muralitharan,4,25,3,6.25
2012,RCB v DC,Harshal Patel,2,10,0,5
2012,DC v CSK,Ankit Sharma,3,28,1,9.33
2012,DC v CSK,Dale Steyn,4,25,2,6.25
2012,DC v CSK,Manpreet Gony,4,54,0,13.5
2012,DC v CSK,Daniel Christian,4,26,2,6.5
2012,DC v CSK,Daniel Harris,1,11,0,11
2012,DC v CSK,TP Sudhindra,4,46,1,11.5
2012,DC v CSK,Ravichandran Ashwin,3,12,0,4
2012,DC v CSK,Albie Morkel,2,20,0,10
2012,DC v CSK,Doug Bollinger,2.1,20,2,9.23
2012,DC v CSK,Suresh Raina,2,10,1,5
2012,DC v CSK,Dwayne Bravo,1,10,0,10
2012,DC v CSK,Ravindra Jadeja,4,16,5,4
2012,DC v CSK,Shadab Jakati,2,14,2,7
2012,DC v CSK,Faf du Plessis,1,16,0,16
2012,RR v KKR,Brett Lee,4,29,2,7.25
2012,RR v KKR,Jacques Kallis,4,35,0,8.75
