season,match_name,fullName,runs,ballsFaced,strikeRate
2021,CSK v KKR,Ruturaj Gaikwad,32,27,118.51
2021,CSK v KKR,Faf du Plessis,86,59,145.76
2021,CSK v KKR,Robin Uthappa,31,15,206.66
2021,CSK v KKR,Moeen Ali,37,20,185
2021,CSK v KKR,Shubman Gill,51,43,118.6
2021,CSK v KKR,Venkatesh Iyer,50,32,156.25
2021,CSK v KKR,Nitish Rana,0,1,0
2021,CSK v KKR,Sunil Narine,2,2,100
2021,CSK v KKR,Eoin Morgan,4,8,50
2021,CSK v KKR,Dinesh Karthik,9,7,128.57
2021,CSK v KKR,Shakib Al Hasan,0,1,0
2021,CSK v KKR,Rahul Tripathi,2,3,66.66
2021,CSK v KKR,Lockie Ferguson,18,11,163.63
2021,CSK v KKR,Shivam Mavi,20,13,153.84
2021,CSK v KKR,Varun Chakravarthy,0,0,0
2021,DC v KKR,Prithvi Shaw,18,12,150
2021,DC v KKR,Shikhar Dhawan,36,39,92.3
2021,DC v KKR,Marcus Stoinis,18,23,78.26
2021,DC v KKR,Shreyas Iyer,30,27,111.11
2021,DC v KKR,Rishabh Pant,6,6,100
2021,DC v KKR,Shimron Hetmyer,17,10,170
2021,DC v KKR,Axar Patel,4,4,100
2021,DC v KKR,Shubman Gill,46,46,100
2021,DC v KKR,Venkatesh Iyer,55,41,134.14
2021,DC v KKR,Nitish Rana,13,12,108.33
2021,DC v KKR,Rahul Tripathi,12,11,109.09
2021,DC v KKR,Dinesh Karthik,0,3,0
2021,DC v KKR,Eoin Morgan,0,3,0
2021,DC v KKR,Shakib Al Hasan,0,2,0
2021,DC v KKR,Sunil Narine,0,1,0
2021,DC v KKR,Lockie Ferguson,0,0,0
2021,RCB v KKR,Devdutt Padikkal,21,18,116.66
2021,RCB v KKR,Virat Kohli,39,33,118.18
2021,RCB v KKR,Srikar Bharat,9,16,56.25
2021,RCB v KKR,Glenn Maxwell,15,18,83.33
2021,RCB v KKR,AB de Villiers,11,9,122.22
2021,RCB v KKR,Shahbaz Ahmed,13,14,92.85
2021,RCB v KKR,Dan Christian,9,8,112.5
2021,RCB v KKR,Harshal Patel,8,6,133.33
2021,RCB v KKR,George Garton,0,0,0
2021,RCB v KKR,Shubman Gill,29,18,161.11
2021,RCB v KKR,Venkatesh Iyer,26,30,86.66
2021,RCB v KKR,Rahul Tripathi,6,5,120
2021,RCB v KKR,Nitish Rana,23,25,92
2021,RCB v KKR,Sunil Narine,26,15,173.33
2021,RCB v KKR,Dinesh Karthik,10,12,83.33
2021,RCB v KKR,Eoin Morgan,5,7,71.42
2021,RCB v KKR,Shakib Al Hasan,9,6,150
2021,DC v CSK,Prithvi Shaw,60,34,176.47
2021,DC v CSK,Shikhar Dhawan,7,7,100
2021,DC v CSK,Shreyas Iyer,1,8,12.5
2021,DC v CSK,Axar Patel,10,11,90.9
2021,DC v CSK,Rishabh Pant,51,35,145.71
2021,DC v CSK,Shimron Hetmyer,37,24,154.16
2021,DC v CSK,Tom Curran,0,1,0
2021,DC v CSK,Ruturaj Gaikwad,70,50,140
2021,DC v CSK,Faf du Plessis,1,2,50
2021,DC v CSK,Robin Uthappa,63,44,143.18
2021,DC v CSK,Shardul Thakur,0,1,0
2021,DC v CSK,Ambati Rayudu,1,3,33.33
2021,DC v CSK,Moeen Ali,16,12,133.33
2021,DC v CSK,MS Dhoni,18,6,300
2021,DC v CSK,Ravindra Jadeja,0,0,0
2021,RCB v DC,Prithvi Shaw,48,31,154.83
2021,RCB v DC,Shikhar Dhawan,43,35,122.85
2021,RCB v DC,Rishabh Pant,10,8,125
2021,RCB v DC,Shreyas Iyer,18,18,100
2021,RCB v DC,Shimron Hetmyer,29,22,131.81
2021,RCB v DC,Ripal Patel,7,7,100
2021,RCB v DC,Virat Kohli,4,8,50
2021,RCB v DC,Devdutt Padikkal,0,1,0
2021,RCB v DC,Srikar Bharat,78,52,150
2021,RCB v DC,AB de Villiers,26,26,100
2021,RCB v DC,Glenn Maxwell,51,33,154.54
2021,SRH v MI,Rohit Sharma,18,13,138.46
2021,SRH v MI,Ishan Kishan,84,32,262.5
2021,SRH v MI,Hardik Pandya,10,8,125
2021,SRH v MI,Kieron Pollard,13,12,108.33
2021,SRH v MI,Suryakumar Yadav,82,40,205
2021,SRH v MI,James Neesham,0,1,0
2021,SRH v MI,Krunal Pandya,9,7,128.57
2021,SRH v MI,Nathan Coulter0Nile,3,3,100
2021,SRH v MI,Piyush Chawla,0,2,0
2021,SRH v MI,Jasprit Bumrah,5,2,250
2021,SRH v MI,Trent Boult,0,0,0
2021,SRH v MI,Jason Roy,34,21,161.9
2021,SRH v MI,Abhishek Sharma,33,16,206.25
2021,SRH v MI,Manish Pandey,69,41,168.29
2021,SRH v MI,Mohammad Nabi,3,4,75
2021,SRH v MI,Abdul Samad,2,3,66.66
2021,SRH v MI,Priyam Garg,29,21,138.09
2021,SRH v MI,Jason Holder,1,2,50
2021,SRH v MI,Rashid Khan,9,5,180
2021,SRH v MI,Wriddhiman Saha,2,5,40
2021,SRH v MI,Siddarth Kaul,1,3,33.33
2021,KKR v RR,Shubman Gill,56,44,127.27
2021,KKR v RR,Venkatesh Iyer,38,35,108.57
2021,KKR v RR,Nitish Rana,12,5,240
2021,KKR v RR,Rahul Tripathi,21,14,150
2021,KKR v RR,Dinesh Karthik,14,11,127.27
2021,KKR v RR,Eoin Morgan,13,11,118.18
2021,KKR v RR,Yashasvi Jaiswal,0,3,0
2021,KKR v RR,Liam Livingstone,6,6,100
2021,KKR v RR,Sanju Samson,1,4,25
2021,KKR v RR,Shivam Dube,18,20,90
2021,KKR v RR,Anuj Rawat,0,1,0
2021,KKR v RR,Glenn Phillips,8,12,66.66
2021,KKR v RR,Rahul Tewatia,44,36,122.22
2021,KKR v RR,Chris Morris,0,2,0
2021,KKR v RR,Jaydev Unadkat,6,5,120
2021,KKR v RR,Chetan Sakariya,1,5,20
2021,KKR v RR,Mustafizur Rahman,0,3,0
2021,CSK v PBKS,Ruturaj Gaikwad,12,14,85.71
2021,CSK v PBKS,Faf du Plessis,76,55,138.18
2021,CSK v PBKS,Moeen Ali,0,6,0
2021,CSK v PBKS,Robin Uthappa,2,6,33.33
2021,CSK v PBKS,Ambati Rayudu,4,5,80
2021,CSK v PBKS,MS Dhoni,12,15,80
2021,CSK v PBKS,Ravindra Jadeja,15,17,88.23
2021,CSK v PBKS,Dwayne Bravo,4,2,200
2021,CSK v PBKS,KL Rahul,98,42,233.33
2021,CSK v PBKS,Mayank Agarwal,12,12,100
2021,CSK v PBKS,Sarfaraz Khan,0,3,0
2021,CSK v PBKS,M Shahrukh Khan,8,10,80
2021,CSK v PBKS,Aiden Markram,13,8,162.5
2021,CSK v PBKS,Moises Henriques,3,3,100
2021,RCB v SRH,Jason Roy,44,38,115.78
2021,RCB v SRH,Abhishek Sharma,13,10,130
2021,RCB v SRH,Kane Williamson,31,29,106.89
2021,RCB v SRH,Priyam Garg,15,11,136.36
2021,RCB v SRH,Abdul Samad,1,3,33.33
2021,RCB v SRH,Wriddhiman Saha,10,8,125
2021,RCB v SRH,Jason Holder,16,13,123.07
2021,RCB v SRH,Rashid Khan,7,9,77.77
2021,RCB v SRH,Virat Kohli,5,4,125
2021,RCB v SRH,Devdutt Padikkal,41,52,78.84
2021,RCB v SRH,Dan Christian,1,4,25
2021,RCB v SRH,Srikar Bharat,12,10,120
2021,RCB v SRH,Glenn Maxwell,40,25,160
2021,RCB v SRH,AB de Villiers,19,13,146.15
2021,RCB v SRH,Shahbaz Ahmed,14,9,155.55
2021,RCB v SRH,George Garton,2,3,66.66
2021,RR v MI,Evin Lewis,24,19,126.31
2021,RR v MI,Yashasvi Jaiswal,12,9,133.33
2021,RR v MI,Sanju Samson,3,6,50
