season,match_name,fullName,runs,strikeRate
2023,GT v CSK,Devon Conway,1,16.66
2023,GT v CSK,Ruturaj Gaikwad,92,184
2023,GT v CSK,Moeen Ali,23,135.29
2023,GT v CSK,Ben Stokes,7,116.66
2023,GT v CSK,Ambati Rayudu,12,100
2023,GT v CSK,Shivam Dube,19,105.55
2023,GT v CSK,Ravindra Jadeja,1,50
2023,GT v CSK,MS Dhoni,14,200
2023,GT v CSK,Mitchell Santner,1,33.33
2023,GT v CSK,Wriddhiman Saha,25,156.25
2023,GT v CSK,Shubman Gill,63,175
2023,GT v CSK,Sai Sudharsan,22,129.41
2023,GT v CSK,Hardik Pandya,8,72.72
2023,GT v CSK,Vijay Shankar,27,128.57
2023,GT v CSK,Rahul Tewatia,15,107.14
2023,GT v CSK,Rashid Khan,10,333.33
2023,PBKS v KKR,Prabhsimran Singh,23,191.66
2023,PBKS v KKR,Shikhar Dhawan,40,137.93
2023,PBKS v KKR,Bhanuka Rajapaksa,50,156.25
2023,PBKS v KKR,Jitesh Sharma,21,190.9
2023,PBKS v KKR,Sikandar Raza,16,123.07
2023,PBKS v KKR,Sam Curran,26,152.94
2023,PBKS v KKR,M Shahrukh Khan,11,157.14
2023,PBKS v KKR,Mandeep Singh,2,50
2023,PBKS v KKR,Rahmanullah Gurbaz,22,137.5
2023,PBKS v KKR,Anukul Roy,4,80
2023,PBKS v KKR,Venkatesh Iyer,34,121.42
2023,PBKS v KKR,Nitish Rana,24,141.17
2023,PBKS v KKR,Rinku Singh,4,100
2023,PBKS v KKR,Andre Russell,35,184.21
2023,PBKS v KKR,Shardul Thakur,8,266.66
2023,PBKS v KKR,Sunil Narine,7,350
2023,LSG v DC,KL Rahul,8,66.66
2023,LSG v DC,Kyle Mayers,73,192.1
2023,LSG v DC,Deepak Hooda,17,94.44
2023,LSG v DC,Krunal Pandya,15,115.38
2023,LSG v DC,Marcus Stoinis,12,120
2023,LSG v DC,Nicholas Pooran,36,171.42
2023,LSG v DC,Ayush Badoni,18,257.14
2023,LSG v DC,Krishnappa Gowtham,6,600
2023,LSG v DC,Prithvi Shaw,12,133.33
2023,LSG v DC,David Warner,56,116.66
2023,LSG v DC,Mitchell Marsh,0,0
2023,LSG v DC,Sarfaraz Khan,4,44.44
2023,LSG v DC,Rilee Rossouw,30,150
2023,LSG v DC,Rovman Powell,1,33.33
2023,LSG v DC,Aman Hakim Khan,4,80
2023,LSG v DC,Axar Patel,16,145.45
2023,LSG v DC,Kuldeep Yadav,6,60
2023,LSG v DC,Chetan Sakariya,4,100
2023,LSG v DC,Mukesh Kumar,0,0
2023,SRH v RR,Yashasvi Jaiswal,54,145.94
2023,SRH v RR,Jos Buttler,54,245.45
2023,SRH v RR,Sanju Samson,55,171.87
2023,SRH v RR,Devdutt Padikkal,2,40
2023,SRH v RR,Riyan Parag,7,116.66
2023,SRH v RR,Shimron Hetmyer,22,137.5
2023,SRH v RR,Ravichandran Ashwin,1,50
2023,SRH v RR,Abhishek Sharma,0,0
2023,SRH v RR,Mayank Agarwal,27,117.39
2023,SRH v RR,Rahul Tripathi,0,0
2023,SRH v RR,Harry Brook,13,61.9
2023,SRH v RR,Washington Sundar,1,20
2023,SRH v RR,Glenn Phillips,8,133.33
2023,SRH v RR,Abdul Samad,32,100
2023,SRH v RR,Adil Rashid,18,138.46
2023,SRH v RR,Bhuvneshwar Kumar,6,60
2023,SRH v RR,Umran Malik,19,237.5
2023,RCB v MI,Rohit Sharma,1,10
2023,RCB v MI,Ishan Kishan,10,76.92
2023,RCB v MI,Cameron Green,5,125
