season,rank,name,matchesplayed,matcheswon,matcheslost,matchpoints
2023,1,Gujarat Titans,14,10,4,20
2023,2,Chennai Super Kings,14,8,5,17
2023,3,Lucknow Super Giants,14,8,5,17
2023,4,Mumbai Indians,14,8,6,16
2023,5,Rajasthan Royals,14,7,7,14
2023,6,Royal Challengers Bangalore,14,7,7,14
2023,7,Kolkata Knight Riders,14,6,8,12
2023,8,Punjab Kings,14,6,8,12
2023,9,Delhi Capitals,14,5,9,10
2023,10,Sunrisers Hyderabad,14,4,10,8
2022,1,Gujarat Titans,14,10,4,20
2022,2,Rajasthan Royals,14,9,5,18
2022,3,Lucknow Super Giants,14,9,5,18
2022,4,Royal Challengers Bangalore,14,8,6,16
2022,5,Delhi Capitals,14,7,7,14
2022,6,Punjab Kings,14,7,7,14
2022,7,Kolkata Knight Riders,14,6,8,12
2022,8,Sunrisers Hyderabad,14,6,8,12
2022,9,Chennai Super Kings,14,4,10,8
2022,10,Mumbai Indians,14,4,10,8
2021,1,Delhi Capitals,14,10,4,20
2021,2,Chennai Super Kings,14,9,5,18
2021,3,Royal Challengers Bangalore,14,9,5,18
2021,4,Kolkata Knight Riders,14,7,7,14
2021,5,Mumbai Indians,14,7,7,14
2021,6,Punjab Kings,14,6,8,12
2021,7,Rajasthan Royals,14,5,9,10
2021,8,Sunrisers Hyderabad,14,3,11,6
2020,1,Mumbai Indians,14,9,5,18
2020,2,Delhi Capitals,14,8,6,16
2020,3,Sunrisers Hyderabad,14,7,7,14
2020,4,Royal Challengers Bangalore,14,7,7,14
2020,5,Kolkata Knight Riders,14,7,7,14
2020,6,Kings XI Punjab,14,6,8,12
2020,7,Chennai Super Kings,14,6,8,12
2020,8,Rajasthan Royals,14,6,8,12
2019,1,Mumbai Indians,14,9,5,18
2019,2,Chennai Super Kings,14,9,5,18
2019,3,Delhi Capitals,14,9,5,18
2019,4,Sunrisers Hyderabad,14,6,8,12
2019,5,Kolkata Knight Riders,14,6,8,12
2019,6,Kings XI Punjab,14,6,8,12
2019,7,Rajasthan Royals,14,5,8,11
2019,8,Royal Challengers Bangalore,14,5,8,11
2018,1,Sunrisers Hyderabad,14,9,5,18
2018,2,Chennai Super Kings,14,9,5,18
2018,3,Kolkata Knight Riders,14,8,6,16
2018,4,Rajasthan Royals,14,7,7,14
2018,5,Mumbai Indians,14,6,8,12
2018,6,Royal Challengers Bangalore,14,6,8,12
2018,7,Kings XI Punjab,14,6,8,12
2018,8,Delhi Capitals,14,5,9,10
2017,1,Mumbai Indians,14,10,4,20
2017,2,Rising Pune Supergiant,14,9,5,18
2017,3,Sunrisers Hyderabad,14,8,5,17
2017,4,Kolkata Knight Riders,14,8,6,16
2017,5,Kings XI Punjab,14,7,7,14
2017,6,Delhi Capitals,14,6,8,12
2017,7,Gujarat Lions,14,4,10,8
2017,8,Royal Challengers Bangalore,14,3,10,7
2016,1,Gujarat Lions,14,9,5,18
2016,2,Royal Challengers Bangalore,14,8,6,16
2016,3,Sunrisers Hyderabad,14,8,6,16
2016,4,Kolkata Knight Riders,14,8,6,16
2016,5,Mumbai Indians,14,7,7,14
2016,6,Delhi Capitals,14,7,7,14
2016,7,Rising Pune Supergiant,14,5,9,10
2016,8,Kings XI Punjab,14,4,10,8
2015,1,Chennai Super Kings,14,9,5,18
2015,2,Mumbai Indians,14,8,6,16
2015,3,Royal Challengers Bangalore,14,7,5,16
2015,4,Rajasthan Royals,14,7,5,16
2015,5,Kolkata Knight Riders,14,7,6,15
2015,6,Sunrisers Hyderabad,14,7,7,14
2015,7,Delhi Capitals,14,5,8,11
2015,8,Kings XI Punjab,14,3,11,6
2014,1,Kings XI Punjab,14,11,3,22
2014,2,Kolkata Knight Riders,14,9,5,18
2014,3,Chennai Super Kings,14,9,5,18
2014,4,Mumbai Indians,14,7,7,14
2014,5,Rajasthan Royals,14,7,7,14
2014,6,Sunrisers Hyderabad,14,6,8,12
2014,7,Royal Challengers Bangalore,14,5,9,10
2014,8,Delhi Capitals,14,2,12,4
2013,1,Chennai Super Kings,16,11,5,22
2013,2,Mumbai Indians,16,11,5,22
